"","species","varval","genus","family","order","class","phylum","kingdom"
"2944","Aceros leucocephalus",1086,"Aceros","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia"
"2948","Aceros nipalensis",2408,"Aceros","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia"
"2959","Achaetops pycnopygius",27.8,"Achaetops","Macrosphenidae","Passeriformes","Aves","Chordata","Animalia"
"2970","Acinonyx jubatus",46206.622,"Acinonyx","Felidae","Carnivora","Mammalia","Chordata","Animalia"
"3072","Acomys airensis",36.20625,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3113","Acomys cahirinus",41.701,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3180","Acomys chudeaui",41.2357142857143,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3219","Acomys cilicicus",1,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3225","Acomys cineraceus",36.20625,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3268","Acomys dimidiatus",36.20625,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3309","Acomys ignitus",36.20625,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3350","Acomys johannis",36.20625,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3391","Acomys kempi",38.83,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3432","Acomys louisae",28.2466666666667,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3438","Acomys minous",45.9611111111111,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3481","Acomys mullah",36.20625,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3522","Acomys nesiotes",41.2357142857143,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3562","Acomys percivali",21.99,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3565","Acomys russatus",53.57875,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3588","Acomys seurati",36.20625,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3629","Acomys spinosissimus",29.014,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3640","Acomys subspinosus",28.8233333333333,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3647","Acomys wilsoni",23.8416666666667,"Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"3675","Aconaemys fuscus",117.983333333333,"Aconaemys","Octodontidae","Rodentia","Mammalia","Chordata","Animalia"
"3683","Aconaemys porteri",112,"Aconaemys","Octodontidae","Rodentia","Mammalia","Chordata","Animalia"
"3687","Aconaemys sagei",96.49,"Aconaemys","Octodontidae","Rodentia","Mammalia","Chordata","Animalia"
"3690","Acontias gariepensis",3.32821434110699,"Acontias","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"3712","Acontias gracilicauda",9.33254300796991,"Acontias","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"3720","Acontias kgalagadi",3.97326018464528,"Acontias","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"3742","Acontias meleagris",10.1479554709059,"Acontias","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"3777","Acontias orientalis",7.3,"Acontias","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"3784","Acontias plumbeus",43.6515832240166,"Acontias","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"3792","Acrantophis dumerili",2492.06389211289,"Acrantophis","Boidae","Squamata","Reptilia","Chordata","Animalia"
