Coracopsis;nigra;USNM432236;m;;5,55;;
Coracopsis;vasa;USNM322667;m;;8,7;;
;;USNM347373;f;;8,5;;
Cyanoliseus;patagonus;USNM227500;m;;8,05;;
;;USNM227501;m;;8,4;;
Cyanopsitta;spixii;USNM346722;m;;7,25;;
Cyanoramphus;auriceps;QMO28238;f;33;2,45;;
;;QMO30154;m;;3,1;;
Cyanoramphus;novaezelandiae;MVB19893;f;59;2,25;;
Cyanoramphus;unicolor;MVB19896;m;133,5;4,3;;
;;QMO30155;m;35,4;4,7;;
;;MVB19908;f;88;3,4;;
;;QMO30156;f;92;3,7;;
Cyclopsitta;diopthalmica;QMO27803;f;33;1,7;;
Cyclopsitta;helmeterii;ANWC23699;m;29;1,45;;
;;MVB18445;m;30;1,6;;
Deroptyus;accipitrinus;USNM319974;f;;7,65;;
;;USNM343812;f;;7,15;;
;;USNM343005;m;;7,95;;
;;USNM613789;m;251,4;8,2;;
Eclectus;roratus;SAMB37527;m;;8,2;;
;;AMA12091;m;;7,3;;
;;AMO65202;f;275;7,4;;
;;USNM557137;f;;7,15;;
;;USNM490124;m;;7,7;;
;;USNM430501;m;;8,3;;
Eclectus;roratus vosmaeri;USNM613784;f;287,2;6,3;;
;;USNM613783;f;370;6,6;;
Eclectus;roratus solomonensis;USNM614254;f;299,7;5,95;;
Enicognathus;ferrugineus;USNM490977;f;172,6;5,3;;
;;USNM488274;f;;5,35;;
;;USNM491004;f;195;5,3;;
Enicognathus;leptorhynchus;USNM321773;;;7,6;;
Eos;bornea;SAMB14802;m;;5,15;;
;;USNM291974;m;;4,55;;
;;USNM319905;m;;4,85;;
;;USNM344607;f;;4,7;;
Eos;cyanogenia;USNM344586;;;4,2;;
;;USNM344516;m;;5;;
;;USNM344400;f;;4,7;;
Eos;squamata;USNM557114;m;;4;;
;;USNM557113;m;;3,9;;
;;USNM557116;f;;3,4;;
;;USNM557115;f;;3,85;;
;;USNM291971;f;;3,8;;
;;USNM344610;f;;3,8;;
Eunymphicus;cornutus uvaeensis;USNM561563;m;;3,65;;
;;USNM561562;f;94;3;;
Forpus;coelestis;MVB16379;f;;1,3;;
;;USNM500435;f;;1,25;;
;;USNM500530;f;;1,4;;
;;USNM500527;f;;1,3;;
;;USNM492390;f;;1,2;;
;;USNM500529;f;;1,3;;
;;USNM500434;m;;1,45;;
;;USNM492386;m;;1,35;;
;;USNM500528;m;;1,35;;
;;USNM492387;m;;1,4;;
Forpus;conspicillatus;USNM428747;m;;1,2;;
Forpus;cyanopygius;USNM553654;;;1,45;;
;;USNM323000;;;1,1;;
Forpus;passerinus;USNM559334;m;;1,2;;
;;USNM320135;m;;1,05;;
;;USNM322658;m;;1;;
;;USNM322173;m;;1,3;;
;;USNM322172;m;;1,2;;
;;USNM559335;f;20;1,05;;
Glossopsitta;concinna;MVB9823;m;;2,55;;
;;MVB19168;m;69;3,05;;
;;MVB8539;m;;2,95;;
;;SAMB48844;m;;2,95;;
;;MV678;f;;2,9;;
;;MVB11037;f;;2,6;;
;;MVB19232;f;40;3;;
;;MVB20260;f;44;3;;
;;MVB17810;f;64;2,8;;
;;ANWC23692;;;3,3;;
Glossopsitta;porphyrocephala;MVB20916;m;;2,1;;
;;MVB20839;m;;1,9;;
;;SAMB48389;m;;2;;
;;SAMB45339;m;;1,8;;
;;SAMB45792;m;;1,9;;
;;ANWC23694;f;41;1,6;;
;;ANWC48399;f;48,5;1,8;;
;;MVB13204;f;47,7;1,95;;
;;SAMB48608;f;;1,9;;
;;SAMB45444;f;;1,9;;
Glossopsitta;pusilla;ANWC23693;;;1,5;;
;;MVB17811;m;33;1,75;;
;;AMO65469;m;27,5;1,7;;
;;AMO65097;f;42;1,45;;
Graydidasculus;brachyurus;USNM492370;f;;5,3;;
Leptopsittaca;branickii;LSU89683;f;;6,15;;
;;LSU89682;f;;6,35;;
Loriculus;amabilis;USNM557142;m;;1,15;;
;;USNM557146;f;;1,1;;
;;USNM557145;f;;1,2;;
;;USNM557144;f;;1,1;;
Loriculus;galgulus;USNM614241;m;42,3;1,6;;
;;USNM614242;m;26;1,5;;
;;USNM614240;m;23,7;1,5;;
;;USNM292923;m;;1,5;;
;;USNM344386;m;;1,45;;
;;USNM344385;f;;1,4;;
;;USNM344851;f;;1,55;;
Loriculus;phillipensis;USNM613044;m;31;1,5;;
;;USNM291556;f;;1,45;;
Loriculus;vernalis;USNM290327;m;;1,55;;
;;USNM553656;;;1,3;;
Lorius;garrulus;USNM557122;m;;5,05;;
;;USNM557124;m;;4,9;;
;;USNM344951;m;;5,6;;
;;USNM557123;f;;5,25;;
;;USNM344721;f;;5,25;;
;;USNM346465;f;;5,2;;
;;USNM613776;f;191,9;4,95;;
Lorius;lory;ANWC23698;m;233;4,8;;
;;USNM344567;m;;5,75;;
;;USNM344568;m;;5,4;;
;;USNM614251;m;;5,2;;
;;USNM613777;m;167,4;5,3;;
;;USNM344571;f;;4,95;;
;;USNM344570;f;;5,05;;
;;USNM557119;f;;4,8;;
;;USNM557121;f;;4,95;;
;;USNM557120;f;;5;;
;;AMS708;;;5,3;;
Melopsittacus;undulatus;MVB20008;f;31,5;1,2;;
;;MVB20362;f;27;1,15;;
;;MVB20824;f;;1,05;;
Micropsitta;pusio;MVB20030;m;14,5;0,98;;
Myiopsitta;monachus;AMO59846;;;3,95;;
;;USNM345876;m;;3,75;;
;;USNM322016;m;;4,6;;
;;USNM322292;m;;4,3;;
;;USNM431655;m;;3,95;;
;;USNM489398;m;;3,8;;
Neophema;chrysostoma;MVB9828;m;58;1,7;;
;;SAMB6336;m;;1,375;;
Neophema;elegans;QMO28291;m;33;1,4;;
;;QMO28276;m;44;1,3;;
;;SAMB32885;f;;1,275;;
;;QMO28277;f;36;1,15;;
;;USNM612689;f;;1,35;;
Neophema;petrophila;SAMB45961;f;;1,7;;
Neophema;pulchella;ANWC23806;m;30;1,5;;
;;MVB10098;m;;1,35;;
;;QMO28290;m;25;1,25;;
;;AMO60918;m;31;1,55;;
;;QMO28296;f;36;1,25;;
;;QMO28589;f;;1,2;;
;;USNM614463;f;31,8;1,25;;
;;USNM347745;f;;1,2;;
Neophema;splendida;ANWC23802;m;;1,15;;
;;ANWC23804;m;;1,25;;
;;QMO28293;m;30,5;1,3;;
;;AMO58019;m;;1,3;;
;;USNM614464;m;21,7;1,35;;
;;ANWC23803;f;;1,3;;
;;MVB17809;f;34;1,4;;
;;SAMB32903;f;;1,225;;
Neopsephotus;bourkii;ANWC19746;m;43;1,35;;
